awardNumber,awardTitle,awardURI,funderName,funderAbbreviation,funderIdentifer,funderIDType
BB/X511201/1,IAA Commercial - Exploring the Market Opportunity for Knetminer,https://gtr.ukri.org/projects?ref=BB/X511201/1,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
BB/X511201/1,IAA Commercial - Making the newly discovered PER1 wheat enzyme for testing in commercial applications,https://gtr.ukri.org/projects?ref=BB/X511201/1,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
BB/X511201/1,IAA Commercial - Phosfield to the rescue: In-field soil test kit to solve the phosphate problem in the River Wye,https://gtr.ukri.org/projects?ref=BB/X511201/1,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
BB/X511201/1,IAA Communications - CRISPR IP Landscape & Licensing Requirements in the UK,https://gtr.ukri.org/projects?ref=BB/X511201/1,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
BB/X511201/1,IAA Grant Award - Training Fund,https://gtr.ukri.org/projects?ref=BB/X511201/1,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
BB/X511201/1,IAA KEC – Come fly with me – a virtual bacterium’s experience of soil,https://gtr.ukri.org/projects?ref=BB/X511201/1,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
BB/X511201/1,IAA KEC – Tipping Points on Land and Sea,https://gtr.ukri.org/projects?ref=BB/X511201/1,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
BB/X511201/1,IAA Knowledge Exchange - Developing Engagement Assets for the Devon Silvopasture Network,https://gtr.ukri.org/projects?ref=BB/X511201/1,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
BB/X511201/1,"IAA Societal – KnetMiner: Video games for public engagement around AI, genomics, plant breeding and agriculture",https://gtr.ukri.org/projects?ref=BB/X511201/1,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
BB/X511201/1,IAA Societal Impact – Resilience,https://gtr.ukri.org/projects?ref=BB/X511201/1,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
BB/X511201/1,Impact Accelerator Account,https://gtr.ukri.org/projects?ref=BB/X511201/1,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
BB/X511201/1,KEC -  Regenerative agriculture soil structure marble run,https://gtr.ukri.org/projects?ref=BB/X511201/1,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
BB/X511201/1,Next-generation tools for management of forest pests based on microbial VOCs,https://gtr.ukri.org/projects?ref=BB/X511201/1,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
BB/X511201/1,POST-GRAD DATA-SMASH,https://gtr.ukri.org/projects?ref=BB/X511201/1,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
BB/X511201/1,Regenerating crop pest management one gel at a time,https://gtr.ukri.org/projects?ref=BB/X511201/1,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
BB/X511201/1,Rothamsted’s Science Supporting School Student Global Agri Food Summit,https://gtr.ukri.org/projects?ref=BB/X511201/1,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
BB/X511201/1,Sustainable Pasture-fed Systems Unifying Science and Practice,https://gtr.ukri.org/projects?ref=BB/X511201/1,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
BB/X511201/1,To take our resilience research direct to policymakers in Westminster,https://gtr.ukri.org/projects?ref=BB/X511201/1,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
BB/Y001087/1,A new presymbiotic recognition mechanism from cereals enabling root invasion by arbuscular mycorrhizal fungi (RES1503),https://gtr.ukri.org/projects?ref=BB/Y001087/1,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
BB/Y001591/1,Unravelling the meiotic single-cell transcriptomic atlas for the control of recombination (RES1507),https://gtr.ukri.org/projects?ref=BB/Y001591/1,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
BB/Y512333/1,PhenomUK-RI: The UK Plant & Crop Phenotyping Infrastructure,https://gtr.ukri.org/projects?ref=BB/Y512333/1,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
BB/Y512886/1,The electrostatic basis of insect olfaction (RES1506),https://gtr.ukri.org/projects?ref=BB/Y512886/1,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
BB/Y513180/1,Solving the mystery of heterochiasmy (RES1507),https://gtr.ukri.org/projects?ref=BB/Y513180/1,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
BB/Y513350/1,Can vertebrates communicate disease status through airborne chemical signalling? (RES1506),https://gtr.ukri.org/projects?ref=BB/Y513350/1,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
BiV_R1_007,Efficacy of transgenic plant derived n-3 PUFAs in the prevention of menopause mediated brain dysregulation (RES1510),,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
EcoNomad Solutions 23-24,GrROW - Generating renewable Resources from Organic Waste (RES1533),,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
FA Bio,FA Bio REL Innovation scheme - Statistics,,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
FA Bio,FABio_REL Innovation scheme_Andrew Mead_Statistics (RES1535),,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
H5526800,Increasing UK Dietary Fibre – The Case for the Great White British Loaf (RES1523),,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
I-BBS-A-02,UltraPUFAs - novel lipids for human health and fertility,,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
Nottingham ISF,Richard Haslam Nottingham ISF (LMESB),,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
R00911,BREAKTHRU: developing soil compaction resistant wheat,,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
TEST TEST TEST,TEST for PCB - Planner creation (CPQ),,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
TEST TEST TEST,TEST for PCB - Planner creation (ESM),,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
testtttttttttttttttt,TEST OCT NOV 20 (RD),,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
,Supporting new IPM Decisions using the Virus Yellows Model (StatBeet) (RES1529),,British Beet Research Organisation,BBR,05kgk6p34,ROR
,Supporting new IPM Decisions using the Virus Yellows Model (StatBeet) (RES1535),,British Beet Research Organisation,BBR,05kgk6p34,ROR
RRES 22060,Springboard Programme for a Sustainable Future (CPQ),,British Council - Funding,BRI,00t3pr326,ROR
Gates SIS,2023 review of project outputs from Gates Foundation project 'Soil Information Systems Across the World',,Centre for Agriculture and Bioscience International,CABI,02y5sbr94,ROR
SIS consultancy,2024 review of project outputs from Gates Foundation project 'Soil Information Systems Across the World',,Centre for Agriculture and Bioscience International,CABI,02y5sbr94,ROR
GRA 3/60,Exploring the population genetics of p.brassicae for improved protection and management against light leaf spot disease on UK oilseed  rape/vegetable crop (SUR),,Chadacre Agricultural Trust,CHAD,014hhab16,ROR
,Small Robot Co. Focused on Remote Detection of Blackgrass,,CHAP,CHAP,0577v7f42,ROR
CHAP subC,RTO fund for Tiwakiki,,CHAP,CHAP,0577v7f42,ROR
ECHO,Detect early stages of take-all diseases on wheat roots by imaging wheat leaves (WP),,CHAP,CHAP,0577v7f42,ROR
IUK 10026048,Test 10 liquids against blight as an eradicant and protectant (RES1522),,CHAP,CHAP,0577v7f42,ROR
,CIEL Report: Carbon Net Zero & UK Livestock Systems,,CIEL,CIEL,00jhee281,ROR
N/A,CIEL Reports ITT (2021) (AEM),,CIEL,CIEL,00jhee281,ROR
N/A,CIEL Reports ITT (2021) (GLS),,CIEL,CIEL,00jhee281,ROR
ALOMY,Black-grass genome follow-on work to complete objectives and follow up hypotheses (RS),,Clemson University,CLEM,037s24f05,ROR
RES21112,Genetic transformation and evaluation of Camelina sativa plants expressing recombinant proteins (LMESB),,Core Biogenesis,CORE BIO,,
RES21112,Genetic transformation and evaluation of Camelina sativa plants expressing recombinant proteins (OMD),,Core Biogenesis,CORE BIO,,
7940,BioFIND: The Biomass Feedstock Innovation Demonstrator Platform,,"Department  for Business, Energy and Industrial Strategy",BEIS,019ya6433,ROR
82998,Land Use Platform A Holistic Assessment of Agriculture and Land Use Strategies to Achieve Net Zero (RES1511),,"Department  for Business, Energy and Industrial Strategy",BEIS,019ya6433,ROR
BEIS,Accelerating Willow Breeding and Deployment (AWBD) (AGR),,"Department  for Business, Energy and Industrial Strategy",BEIS,019ya6433,ROR
BEIS,Accelerating Willow Breeding and Deployment (AWBD) (GEO),,"Department  for Business, Energy and Industrial Strategy",BEIS,019ya6433,ROR
BEIS,Accelerating Willow Breeding and Deployment (AWBD) (STAT),,"Department  for Business, Energy and Industrial Strategy",BEIS,019ya6433,ROR
BEIS Consultancy agreement,Perennial Energy Crop - Decision Support System,,"Department  for Business, Energy and Industrial Strategy",BEIS,019ya6433,ROR
BioFIND,Biomass Connect (BioFIND) (AGR),,"Department  for Business, Energy and Industrial Strategy",BEIS,019ya6433,ROR
DUNS No.226389443,Accelerating Willow Breeding and Deployment (AWBD) (AGR) - PHASE 2,,"Department  for Business, Energy and Industrial Strategy",BEIS,019ya6433,ROR
DUNS No.226389443,Accelerating Willow Breeding and Deployment (AWBD) (GEO) - PHASE 2,,"Department  for Business, Energy and Industrial Strategy",BEIS,019ya6433,ROR
DUNS No.226389443,Accelerating Willow Breeding and Deployment (AWBD) (STAT) - PHASE 2,,"Department  for Business, Energy and Industrial Strategy",BEIS,019ya6433,ROR
DUNS No.226389443,Accelerating Willow Breeding and Deployment (AWBD) holding account,,"Department  for Business, Energy and Industrial Strategy",BEIS,019ya6433,ROR
Envirocrops AFBI-303-1,Perennial Energy Crops Decision Support System (PEC-DSS): Envirocrops (AFBI-303-1) (RES1517),,"Department  for Business, Energy and Industrial Strategy",BEIS,019ya6433,ROR
UNFCC,Consultancy BEIS - UNFCCC reviewers (AEM),,"Department  for Business, Energy and Industrial Strategy",BEIS,019ya6433,ROR
UoS BFIP,Soilless cultivation for rapid biomass feedstock production (RES1517),,"Department  for Business, Energy and Industrial Strategy",BEIS,019ya6433,ROR
,DEFRA GIN Phase 5 Tender application (RES1507),,"Department for Environment, Food and Rural Affairs",DEF,00tnppw48,ROR
,DEFRA GIN Phase 5 Tender application (RES1513),,"Department for Environment, Food and Rural Affairs",DEF,00tnppw48,ROR
,DEFRA GIN Phase 5 Tender application (RES1523),,"Department for Environment, Food and Rural Affairs",DEF,00tnppw48,ROR
,DEFRA GIN Phase 5 Tender application (RES1527),,"Department for Environment, Food and Rural Affairs",DEF,00tnppw48,ROR
,Subterranean field trial (RES1522),,"Department for Environment, Food and Rural Affairs",DEF,00tnppw48,ROR
1022651,DEFRA GHG Inventories project 2023 (5 years duration) (RES1511),,"Department for Environment, Food and Rural Affairs",DEF,00tnppw48,ROR
1022651,DEFRA GHG Inventories project 2023 (5 years duration) (RES1519),,"Department for Environment, Food and Rural Affairs",DEF,00tnppw48,ROR
2023/24/011,Vasthi & Alice  DEFRA bid - Forest Research (RES1519),,"Department for Environment, Food and Rural Affairs",DEF,00tnppw48,ROR
8202,Developing Nitrogen Futures Subcontract CEH Extension (AEM),,"Department for Environment, Food and Rural Affairs",DEF,00tnppw48,ROR
B0659x1,Comparative Life Cycle Assessment of Commodity Production; Identifying Opportunities for Sustainable Productivity Growth Across the Agri-Food Chain (AEM),,"Department for Environment, Food and Rural Affairs",DEF,00tnppw48,ROR
B0659x1,Comparative Life Cycle Assessment of Commodity Production; Identifying Opportunities for Sustainable Productivity Growth Across the Agri-Food Chain (ESM),,"Department for Environment, Food and Rural Affairs",DEF,00tnppw48,ROR
FERA Paul Lansell,Identifying potential pests and pathogens in contaminating soil (SM),,"Department for Environment, Food and Rural Affairs",DEF,00tnppw48,ROR
FiPL-CNL,SOC baselining for Defra FiPL submission (AGR),,"Department for Environment, Food and Rural Affairs",DEF,00tnppw48,ROR
NIAB,Cabbage Stem Flea Beetle: evaluating management of Winter oilseed rape on farm for maximum margins,,"Department for Environment, Food and Rural Affairs",DEF,00tnppw48,ROR
R23974 CCN4,Improving the nutritional quality of rapeseed oil (INQoRO),,"Department for Environment, Food and Rural Affairs",DEF,00tnppw48,ROR
Ref: 07955,Support for National Air Pollution Control Strategies (SNAPCS),,"Department for Environment, Food and Rural Affairs",DEF,00tnppw48,ROR
E&S Grand Challenge,A Digital Agriculture Route Map for the UK: Twins and AI for Decision Support (RES1508),,Engineering and Physical Sciences Research Council,EPS,0439y7842,ROR
E&S Grand Challenge,A Digital Agriculture Route Map for the UK: Twins and AI for Decision Support (RES1509),,Engineering and Physical Sciences Research Council,EPS,0439y7842,ROR
E&S Grand Challenge,A Digital Agriculture Route Map for the UK: Twins and AI for Decision Support (RES1525),,Engineering and Physical Sciences Research Council,EPS,0439y7842,ROR
E&S Grand Challenge,A Digital Agriculture Route Map for the UK: Twins and AI for Decision Support (RES1529),,Engineering and Physical Sciences Research Council,EPS,0439y7842,ROR
E&S Grand Challenge,A Digital Agriculture Route Map for the UK: Twins and AI for Decision Support (RES1535),,Engineering and Physical Sciences Research Council,EPS,0439y7842,ROR
EP/X011062/1,Build a network to research sustainable agri-food - AgriFood4NetZero Network+ (AFN) Champions 2022/3 for net zero (RES1531),https://gtr.ukri.org/projects?ref=EP/X011062/1,Engineering and Physical Sciences Research Council,EPS,0439y7842,ROR
EP/Y025776/1,Global Nitrogen Innovation Center for Clean Energy and the Environment (NICCEE) (RES1511),https://gtr.ukri.org/projects?ref=EP/Y025776/1,Engineering and Physical Sciences Research Council,EPS,0439y7842,ROR
EP/Y025776/1,Global Nitrogen Innovation Center for Clean Energy and the Environment (NICCEE) (RES1516),https://gtr.ukri.org/projects?ref=EP/Y025776/1,Engineering and Physical Sciences Research Council,EPS,0439y7842,ROR
